Nodes:
  [  0]	origin	(access:  5713,	hit:  5713,	hit rate: 100.0%)
  [ 73]	node27 -> node25,	traffic:   0.0
  [ 74]	node25 -> node28,	traffic: 782.0
  [ 75]	node28 -> node25,	traffic:   0.0
  [ 76]	node26 -> node29,	traffic: 584.0
  [ 77]	node29 -> node26,	traffic:   0.0
  [ 78]	node27 -> node30,	traffic: 420.0
  [ 79]	node30 -> node27,	traffic:   0.0
  [ 80]	node28 -> node31,	traffic: 254.0
  [ 81]	node31 -> node28,	traffic:   0.0
  [ 82]	node28 -> node32,	traffic: 400.0
  [ 83]	node32 -> node28,	traffic:   0.0
  [ 84]	node29 -> node33,	traffic: 432.0
  [ 85]	node33 -> node29,	traffic:   0.0
  [ 86]	node30 -> node34,	traffic: 240.0
  [ 87]	node34 -> node30,	traffic:   0.0
  [ 88]	node31 -> node34,	traffic:   0.0
  [ 89]	node34 -> node31,	traffic:   0.0
  [ 90]	node32 -> node33,	traffic:   0.0
  [ 91]	node33 -> node32,	traffic:   0.0
  [ 92]	node32 -> node35,	traffic: 211.0
  [ 93]	node35 -> node32,	traffic:   0.0
  [ 94]	node33 -> node36,	traffic: 236.0
  [ 95]	node36 -> node33,	traffic:   0.0
  [ 96]	node34 -> node35,	traffic:   0.0
  [ 97]	node35 -> node34,	traffic:   0.0
  [ 98]	node35 -> node36,	traffic:   0.0
  [ 99]	node36 -> node35,	traffic:   0.0
