Evaluation number cache hit rate
0,0.347
1,0.455
2,0.434
3,0.363
4,0.331
5,0.385
6,0.402
7,0.250
8,0.305
9,0.452
10,0.459
11,0.452
12,0.531
13,0.397
14,0.265
15,0.372
16,0.417
17,0.336
18,0.327
19,0.346
20,0.313
21,0.364
22,0.378
23,0.345
24,0.312
25,0.348
26,0.293
27,0.350
28,0.486
29,0.442
30,0.355
31,0.348
32,0.424
33,0.316
34,0.397
35,0.333
36,0.333
37,0.463
38,0.535
39,0.627
40,0.433
41,0.464
42,0.294
43,0.391
44,0.421
45,0.269
46,0.382
47,0.299
48,0.320
49,0.286
50,0.409
51,0.292
52,0.381
53,0.361
54,0.465
55,0.294
56,0.451
57,0.357
58,0.374
59,0.314
60,0.348
61,0.362
62,0.260
63,0.318
64,0.392
65,0.413
66,0.414
67,0.452
68,0.395
69,0.510
70,0.281
71,0.391
72,0.408
73,0.338
74,0.557
75,0.280
76,0.460
77,0.266
78,0.360
79,0.314
80,0.348
81,0.329
82,0.464
83,0.323
84,0.415
85,0.353
86,0.526
87,0.331
88,0.431
89,0.356
90,0.392
91,0.338
92,0.391
93,0.380
94,0.365
95,0.329
96,0.440
97,0.380
98,0.345
99,0.567
100,0.382
101,0.356
102,0.354
103,0.379
104,0.322
105,0.345
106,0.250
107,0.432
108,0.455
109,0.377
110,0.346
111,0.271
112,0.398
113,0.388
114,0.393
115,0.490
116,0.409
117,0.414
118,0.364
119,0.389
120,0.400
121,0.350
122,0.510
123,0.333
124,0.311
125,0.382
126,0.272
127,0.301
128,0.299
129,0.379
130,0.389
131,0.314
132,0.345
133,0.305
134,0.354
135,0.385
136,0.324
137,0.440
138,0.423
139,0.355
140,0.534
141,0.325
142,0.385
143,0.351
144,0.403
145,0.452
146,0.321
147,0.268
148,0.377
149,0.284
150,0.393
151,0.312
152,0.385
153,0.331
154,0.319
155,0.338
156,0.427
157,0.320
158,0.426
159,0.413
160,0.295
161,0.286
162,0.405
163,0.342
164,0.402
165,0.329
166,0.282
167,0.486
168,0.338
169,0.417
170,0.254
171,0.505
172,0.450
173,0.338
174,0.329
175,0.431
176,0.397
177,0.305
178,0.366
179,0.336
180,0.287
181,0.316
182,0.366
183,0.318
184,0.462
185,0.389
186,0.357
187,0.490
188,0.278
189,0.288
190,0.433
191,0.336
192,0.333
193,0.368
194,0.410
195,0.509
196,0.391
197,0.316
198,0.313
199,0.372
200,0.439
201,0.320
202,0.336
203,0.456
204,0.558
205,0.459
206,0.520
207,0.394
208,0.314
209,0.352
210,0.408
211,0.333
212,0.338
213,0.290
214,0.340
215,0.477
216,0.375
217,0.325
218,0.345
219,0.373
220,0.338
221,0.415
222,0.333
223,0.486
224,0.444
225,0.364
226,0.256
227,0.327
228,0.419
229,0.378
230,0.382
231,0.323
232,0.271
233,0.333
234,0.322
235,0.336
236,0.457
237,0.430
238,0.397
239,0.362
240,0.368
241,0.323
242,0.437
243,0.402
244,0.380
245,0.398
246,0.376
247,0.289
248,0.357
249,0.340
250,0.386
251,0.408
252,0.286
253,0.358
254,0.460
255,0.419
256,0.427
257,0.379
258,0.366
259,0.275
260,0.464
261,0.379
262,0.382
263,0.614
264,0.416
265,0.388
266,0.379
267,0.383
268,0.293
269,0.427
270,0.440
271,0.482
272,0.323
273,0.289
274,0.357
275,0.378
276,0.350
277,0.365
278,0.562
279,0.417
280,0.391
281,0.415
282,0.340
283,0.397
284,0.310
285,0.351
286,0.322
287,0.313
288,0.447
289,0.355
290,0.388
291,0.445
292,0.515
293,0.374
294,0.321
295,0.455
296,0.372
297,0.442
298,0.420
299,0.557
300,0.371
